,ID,SN
248,z_8_flares_15_gal_010_alma.fits,3.76
249,z_5_flares_01_gal_015_alma.fits,8.81
250,z_5_flares_16_gal_077_alma.fits,4.69
251,z_6_flares_08_gal_108_alma.fits,13.82
252,z_6_flares_12_gal_073_alma.fits,4.54
253,z_7_flares_06_gal_002_alma.fits,6.01
254,z_5_flares_06_gal_119_alma.fits,6.31
255,z_5_flares_00_gal_037_alma.fits,5.86
256,z_6_flares_04_gal_069_alma.fits,7.06
257,z_6_flares_08_gal_024_alma.fits,7.6
258,z_6_flares_07_gal_083_alma.fits,3.6
259,z_5_flares_10_gal_102_alma.fits,4.36
260,z_5_flares_16_gal_005_alma.fits,7.21
261,z_5_flares_14_gal_092_alma.fits,14.77
262,z_6_flares_14_gal_004_alma.fits,4.11
263,z_5_flares_07_gal_015_alma.fits,5.02
264,z_5_flares_10_gal_068_alma.fits,4.16
265,z_6_flares_14_gal_069_alma.fits,2.95
266,z_8_flares_02_gal_006_alma.fits,4.06
267,z_6_flares_12_gal_054_alma.fits,7.57
268,z_5_flares_15_gal_154_alma.fits,3.4
269,z_6_flares_17_gal_000_alma.fits,8.45
270,z_5_flares_18_gal_030_alma.fits,12.16
271,z_5_flares_16_gal_047_alma.fits,12.49
272,z_6_flares_13_gal_020_alma.fits,4.98
273,z_5_flares_11_gal_173_alma.fits,3.93
274,z_5_flares_12_gal_090_alma.fits,4.44
275,z_5_flares_06_gal_101_alma.fits,9.35
276,z_7_flares_10_gal_006_alma.fits,4.74
277,z_5_flares_09_gal_140_alma.fits,12.4
278,z_5_flares_20_gal_023_alma.fits,3.55
279,z_5_flares_00_gal_054_alma.fits,3.6
280,z_6_flares_14_gal_050_alma.fits,3.33
281,z_5_flares_08_gal_171_alma.fits,5.64
282,z_5_flares_07_gal_146_alma.fits,10.87
283,z_5_flares_04_gal_109_alma.fits,10.5
284,z_7_flares_01_gal_005_alma.fits,4.13
285,z_7_flares_00_gal_018_alma.fits,4.91
286,z_6_flares_12_gal_036_alma.fits,11.64
287,z_5_flares_06_gal_139_alma.fits,4.97
288,z_5_flares_37_gal_002_alma.fits,10.36
289,z_6_flares_13_gal_012_alma.fits,4.07
290,z_5_flares_15_gal_005_alma.fits,5.76
291,z_5_flares_17_gal_030_alma.fits,3.34
292,z_6_flares_09_gal_033_alma.fits,4.55
293,z_6_flares_14_gal_037_alma.fits,3.12
294,z_6_flares_22_gal_005_alma.fits,11.21
295,z_6_flares_13_gal_058_alma.fits,6.68
296,z_5_flares_10_gal_055_alma.fits,10.96
297,z_5_flares_07_gal_160_alma.fits,13.3
298,z_7_flares_04_gal_042_alma.fits,4.45
299,z_5_flares_05_gal_137_alma.fits,8.56
300,z_7_flares_08_gal_041_alma.fits,4.09
301,z_5_flares_12_gal_152_alma.fits,9.48
302,z_7_flares_12_gal_017_alma.fits,3.55
303,z_5_flares_05_gal_113_alma.fits,5.5
304,z_6_flares_10_gal_066_alma.fits,4.33
305,z_5_flares_19_gal_043_alma.fits,3.07
306,z_5_flares_21_gal_019_alma.fits,11.27
307,z_5_flares_12_gal_096_alma.fits,13.08
308,z_5_flares_17_gal_059_alma.fits,7.96
309,z_6_flares_04_gal_024_alma.fits,6.99
310,z_5_flares_19_gal_013_alma.fits,5.65
311,z_7_flares_21_gal_003_alma.fits,4.31
312,z_6_flares_08_gal_047_alma.fits,10.6
313,z_7_flares_01_gal_028_alma.fits,3.26
314,z_5_flares_03_gal_126_alma.fits,15.01
315,z_6_flares_34_gal_005_alma.fits,3.3
316,z_8_flares_10_gal_008_alma.fits,13.96
317,z_6_flares_08_gal_036_alma.fits,10.28
318,z_6_flares_09_gal_072_alma.fits,10.65
319,z_6_flares_05_gal_031_alma.fits,8.88
